Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_300,c_10,c_5,c_10,c_1,Unknown,Unknown
model_301,c_10,m_3,c_11,m_3,Unknown,Unknown
model_302,c_2,m_2,c_10,s,Unknown,Unknown
model_303,c_7,c_12,m_1,s,Unknown,Unknown
model_304,c_5,c_1,c_12,c_5,Unknown,Unknown
model_305,c_7,c_9,m_3,c_4,Unknown,Unknown
model_306,c_11,c_6,c_8,c_10,Unknown,Unknown
model_307,c_3,c_7,c_8,c_4,Unknown,Unknown
model_308,c_12,c_3,m_2,c_10,Unknown,Unknown
model_309,c_12,c_6,c_4,c_9,Unknown,Unknown
model_310,c_8,m_3,c_11,c_6,Unknown,Unknown
model_311,c_2,c_8,s,-,Unknown,Unknown
model_312,c_12,c_6,c_2,c_5,Unknown,Unknown
model_313,c_5,c_6,c_11,c_7,Unknown,Unknown
model_314,c_10,c_10,c_6,m_3,Unknown,Unknown
model_315,c_4,c_12,c_11,m_2,Unknown,Unknown
model_316,c_1,c_3,m_1,c_6,Unknown,Unknown
model_317,c_4,m_2,c_11,c_2,Unknown,Unknown
model_318,c_8,c_11,m_3,c_4,Unknown,Unknown
model_319,c_7,c_9,m_2,m_1,Unknown,Unknown
model_320,c_8,c_7,c_8,c_6,Unknown,Unknown
model_321,c_11,c_7,m_3,s,Unknown,Unknown
model_322,c_8,c_4,m_1,c_4,Unknown,Unknown
model_323,c_9,m_2,m_1,c_11,Unknown,Unknown
model_324,c_2,c_12,c_11,c_11,Unknown,Unknown
model_325,c_8,m_1,m_2,c_6,Unknown,Unknown
model_326,c_9,c_10,c_4,c_7,Unknown,Unknown
model_327,c_11,c_12,m_1,c_7,Unknown,Unknown
model_328,c_8,c_1,c_7,c_11,Unknown,Unknown
model_329,c_3,m_3,s,-,Unknown,Unknown
model_330,c_5,c_3,c_2,m_1,Unknown,Unknown
model_331,c_9,c_9,c_6,s,Unknown,Unknown
model_332,c_1,m_2,c_8,m_1,Unknown,Unknown
model_333,c_4,c_9,c_1,c_5,Unknown,Unknown
model_334,c_3,c_6,c_1,m_2,Unknown,Unknown
model_335,c_6,c_6,c_4,m_3,Unknown,Unknown
model_336,c_11,c_5,c_6,c_8,Unknown,Unknown
model_337,c_9,c_7,s,-,Unknown,Unknown
model_338,c_1,c_10,c_9,c_11,Unknown,Unknown
model_339,c_7,c_3,m_2,c_7,Unknown,Unknown
model_340,c_12,c_9,c_4,c_11,Unknown,Unknown
model_341,c_2,c_11,c_7,c_10,Unknown,Unknown
model_342,c_10,c_5,c_7,m_3,Unknown,Unknown
model_343,c_2,c_11,c_1,c_12,Unknown,Unknown
model_344,c_3,c_3,c_10,c_8,Unknown,Unknown
model_345,c_11,m_3,m_3,c_9,Unknown,Unknown
model_346,c_11,m_3,c_9,c_11,Unknown,Unknown
model_347,c_12,c_2,c_8,c_2,Unknown,Unknown
model_348,c_12,c_11,c_1,c_6,Unknown,Unknown
model_349,c_2,c_9,s,-,Unknown,Unknown
model_350,c_11,c_8,c_2,c_7,Unknown,Unknown
model_351,c_8,c_6,c_11,c_9,Unknown,Unknown
model_352,c_2,c_6,c_5,s,Unknown,Unknown
model_353,m_1,c_11,c_5,c_1,Unknown,Unknown
model_354,c_11,s,-,-,Unknown,Unknown
model_355,c_9,c_6,c_11,c_10,Unknown,Unknown
model_356,c_1,c_5,c_2,c_10,Unknown,Unknown
model_357,c_8,c_3,c_3,c_2,Unknown,Unknown
model_358,c_3,m_3,c_8,s,Unknown,Unknown
model_359,c_1,c_12,m_1,c_7,Unknown,Unknown
model_360,c_5,c_2,c_1,m_1,Unknown,Unknown
model_361,c_12,c_6,c_2,c_6,Unknown,Unknown
model_362,c_10,c_12,c_11,c_7,Unknown,Unknown
model_363,c_11,c_10,m_3,c_10,Unknown,Unknown
model_364,c_9,c_11,c_2,c_7,Unknown,Unknown
model_365,c_4,c_10,c_3,c_3,Unknown,Unknown
model_366,c_7,c_9,c_12,s,Unknown,Unknown
model_367,c_1,m_3,c_6,c_2,Unknown,Unknown
model_368,c_5,c_11,c_7,c_6,Unknown,Unknown
model_369,c_8,c_7,s,-,Unknown,Unknown
model_370,c_5,c_5,c_10,c_4,Unknown,Unknown
model_371,c_7,c_9,c_11,c_11,Unknown,Unknown
model_372,c_4,c_11,c_1,c_8,Unknown,Unknown
model_373,c_7,c_2,c_11,m_1,Unknown,Unknown
model_374,c_3,c_4,c_3,c_4,Unknown,Unknown
model_375,c_10,c_3,c_4,c_9,Unknown,Unknown
model_376,c_8,c_7,c_7,c_9,Unknown,Unknown
model_377,c_4,s,-,-,Unknown,Unknown
model_378,c_5,m_2,s,-,Unknown,Unknown
model_379,c_12,c_7,c_3,c_11,Unknown,Unknown
model_380,c_12,c_10,c_3,c_3,Unknown,Unknown
model_381,c_3,c_4,c_11,c_4,Unknown,Unknown
model_382,c_9,c_5,m_3,c_3,Unknown,Unknown
model_383,c_5,m_1,c_2,m_2,Unknown,Unknown
model_384,c_11,c_12,s,-,Unknown,Unknown
model_385,c_3,c_8,c_2,c_7,Unknown,Unknown
model_386,c_1,c_5,m_3,c_1,Unknown,Unknown
model_387,c_10,c_12,s,-,Unknown,Unknown
model_388,c_2,m_3,c_3,c_5,Unknown,Unknown
model_389,c_10,c_1,c_5,c_12,Unknown,Unknown
model_390,c_10,c_9,s,-,Unknown,Unknown
model_391,c_7,c_12,s,-,Unknown,Unknown
model_392,c_5,m_1,c_7,c_12,Unknown,Unknown
