Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1251,c_2,c_12,c_8,c_3,Unknown,Unknown
model_1252,c_2,c_9,c_3,c_1,Unknown,Unknown
model_1253,c_5,c_1,c_5,m_1,Unknown,Unknown
model_1254,c_5,c_12,m_3,c_7,Unknown,Unknown
model_1255,c_1,c_11,c_1,m_2,Unknown,Unknown
model_1256,c_7,c_6,c_11,m_3,Unknown,Unknown
model_1257,c_1,c_4,c_9,c_3,Unknown,Unknown
model_1258,c_7,c_2,c_11,c_1,Unknown,Unknown
model_1259,c_3,c_10,s,-,Unknown,Unknown
model_1260,c_4,c_7,c_1,c_11,Unknown,Unknown
model_1261,c_6,c_1,m_2,c_8,Unknown,Unknown
model_1262,c_5,c_3,m_1,c_4,Unknown,Unknown
model_1263,c_2,c_1,c_3,m_2,Unknown,Unknown
model_1264,m_1,m_2,m_2,-,Unknown,Unknown
model_1265,c_10,c_1,m_2,c_2,Unknown,Unknown
model_1266,c_1,c_12,s,-,Unknown,Unknown
model_1267,c_4,c_1,c_4,c_9,Unknown,Unknown
model_1268,c_9,c_11,c_8,c_6,Unknown,Unknown
model_1269,m_1,s,-,-,Unknown,Unknown
model_1270,c_5,m_1,m_1,c_7,Unknown,Unknown
model_1271,c_11,c_11,m_1,m_1,Unknown,Unknown
model_1272,c_1,c_1,m_2,c_6,Unknown,Unknown
model_1273,c_6,c_8,c_10,c_7,Unknown,Unknown
model_1274,c_11,c_10,m_3,c_9,Unknown,Unknown
model_1275,c_9,c_9,c_1,-,Unknown,Unknown
model_1276,c_4,c_3,m_3,m_2,Unknown,Unknown
model_1277,c_3,m_1,c_4,m_1,Unknown,Unknown
model_1278,c_10,c_7,c_5,m_2,Unknown,Unknown
model_1279,c_3,m_2,c_8,m_3,Unknown,Unknown
model_1280,c_3,c_12,c_3,c_9,Unknown,Unknown
model_1281,c_6,s,-,-,Unknown,Unknown
model_1282,c_1,c_2,m_1,c_1,Unknown,Unknown
model_1283,c_1,c_1,c_6,m_2,Unknown,Unknown
model_1284,c_3,c_12,c_4,c_12,Unknown,Unknown
model_1285,c_11,c_10,c_4,c_9,Unknown,Unknown
model_1286,c_8,c_4,c_4,c_7,Unknown,Unknown
model_1287,c_1,c_10,c_7,c_2,Unknown,Unknown
model_1288,c_4,s,-,-,Unknown,Unknown
model_1289,c_8,c_10,c_1,s,Unknown,Unknown
model_1290,c_3,c_2,c_4,m_3,Unknown,Unknown
model_1291,c_3,c_6,m_1,c_1,Unknown,Unknown
model_1292,c_4,c_2,m_3,c_3,Unknown,Unknown
model_1293,c_10,c_9,m_1,s,Unknown,Unknown
model_1294,c_6,m_1,c_10,m_3,Unknown,Unknown
model_1295,c_10,c_6,c_6,m_2,Unknown,Unknown
model_1296,c_2,m_1,c_5,s,Unknown,Unknown
model_1297,c_9,c_12,c_9,c_4,Unknown,Unknown
model_1298,c_8,c_2,c_3,c_2,Unknown,Unknown
model_1299,c_5,m_1,c_2,c_10,Unknown,Unknown
model_1300,c_6,m_2,m_2,c_1,Unknown,Unknown
model_1301,c_7,c_4,c_6,m_3,Unknown,Unknown
model_1302,c_1,c_9,c_8,c_3,Unknown,Unknown
model_1303,c_10,c_11,c_10,c_11,Unknown,Unknown
model_1304,c_12,m_3,c_11,s,Unknown,Unknown
model_1305,c_9,c_2,c_8,m_2,Unknown,Unknown
model_1306,c_3,c_8,c_3,m_1,Unknown,Unknown
model_1307,c_11,c_1,s,-,Unknown,Unknown
model_1308,c_7,c_7,c_7,c_7,Unknown,Unknown
