Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_800,c_10,c_10,c_3,c_1,Unknown,Unknown
model_801,m_2,s,-,-,Unknown,Unknown
model_802,c_7,c_6,c_8,c_4,Unknown,Unknown
model_803,c_1,c_4,c_11,m_1,Unknown,Unknown
model_804,c_10,c_5,c_7,m_1,Unknown,Unknown
model_805,c_6,c_7,c_2,c_8,Unknown,Unknown
model_806,c_4,c_8,c_11,-,Unknown,Unknown
model_807,c_10,c_12,c_8,c_1,Unknown,Unknown
model_808,c_8,c_11,c_4,c_9,Unknown,Unknown
model_809,c_12,m_1,c_2,s,Unknown,Unknown
model_810,c_3,c_2,c_2,s,Unknown,Unknown
model_811,c_12,c_8,c_10,c_10,Unknown,Unknown
model_812,c_9,c_11,c_1,c_10,Unknown,Unknown
model_813,c_8,m_1,m_1,c_2,Unknown,Unknown
model_814,m_2,c_9,c_8,m_1,Unknown,Unknown
model_815,c_7,c_3,c_5,c_12,Unknown,Unknown
model_816,c_9,c_4,c_8,m_3,Unknown,Unknown
model_817,c_1,c_2,c_4,c_10,Unknown,Unknown
model_818,c_7,c_11,c_3,c_7,Unknown,Unknown
model_819,c_9,c_7,c_8,m_2,Unknown,Unknown
model_820,c_12,c_8,m_2,c_10,Unknown,Unknown
model_821,c_4,c_5,m_3,c_2,Unknown,Unknown
model_822,c_9,c_9,c_3,c_1,Unknown,Unknown
model_823,c_10,c_7,c_2,c_10,Unknown,Unknown
model_824,c_3,c_6,c_7,s,Unknown,Unknown
model_825,c_4,c_5,c_2,c_2,Unknown,Unknown
model_826,c_8,c_12,c_1,s,Unknown,Unknown
model_827,c_12,c_6,c_11,c_2,Unknown,Unknown
model_828,c_5,c_8,c_8,c_11,Unknown,Unknown
model_829,c_1,m_2,c_6,c_12,Unknown,Unknown
model_830,c_3,c_8,c_6,c_11,Unknown,Unknown
model_831,c_1,m_1,m_2,m_2,Unknown,Unknown
model_832,c_9,c_7,c_12,c_12,Unknown,Unknown
model_833,c_7,c_3,c_5,c_10,Unknown,Unknown
model_834,c_10,c_10,c_9,c_1,Unknown,Unknown
model_835,m_3,c_9,c_2,c_1,Unknown,Unknown
model_836,c_1,c_2,c_8,c_8,Unknown,Unknown
model_837,c_3,c_7,c_9,c_4,Unknown,Unknown
model_838,c_6,c_3,c_1,c_4,Unknown,Unknown
model_839,c_4,m_1,m_1,c_5,Unknown,Unknown
model_840,m_1,c_7,m_1,m_2,Unknown,Unknown
model_841,c_10,c_8,c_5,m_2,Unknown,Unknown
model_842,c_1,m_2,c_6,m_3,Unknown,Unknown
model_843,c_9,c_1,c_11,m_3,Unknown,Unknown
model_844,c_12,c_8,c_12,c_10,Unknown,Unknown
model_845,c_7,c_9,c_8,m_1,Unknown,Unknown
model_846,c_11,m_1,c_4,c_1,Unknown,Unknown
model_847,c_2,c_4,m_3,c_10,Unknown,Unknown
model_848,c_10,c_9,c_7,c_8,Unknown,Unknown
model_849,c_7,c_5,c_10,c_10,Unknown,Unknown
model_850,c_3,m_1,c_7,m_3,Unknown,Unknown
model_851,c_5,c_4,m_3,c_6,Unknown,Unknown
model_852,c_5,m_1,m_2,s,Unknown,Unknown
model_853,c_9,c_1,c_11,c_7,Unknown,Unknown
model_854,c_4,c_1,c_3,c_3,Unknown,Unknown
model_855,c_10,m_2,m_1,s,Unknown,Unknown
model_856,c_1,c_7,c_6,m_1,Unknown,Unknown
model_857,c_12,m_2,c_7,c_1,Unknown,Unknown
model_858,c_7,c_9,c_4,c_7,Unknown,Unknown
model_859,c_2,m_1,c_1,c_10,Unknown,Unknown
model_860,c_5,c_4,c_12,c_5,Unknown,Unknown
model_861,c_2,c_4,c_5,c_11,Unknown,Unknown
model_862,m_3,m_2,c_4,c_6,Unknown,Unknown
model_863,c_6,c_2,c_3,c_12,Unknown,Unknown
model_864,c_9,c_6,c_6,m_3,Unknown,Unknown
model_865,c_4,c_2,c_9,m_2,Unknown,Unknown
model_866,c_6,m_1,c_5,m_2,Unknown,Unknown
model_867,c_1,c_1,c_7,m_2,Unknown,Unknown
model_868,c_4,c_2,c_11,s,Unknown,Unknown
model_869,c_3,m_3,c_2,m_2,Unknown,Unknown
model_870,c_12,c_10,m_2,m_3,Unknown,Unknown
model_871,c_4,c_3,c_8,c_11,Unknown,Unknown
model_872,c_1,c_4,c_1,c_3,Unknown,Unknown
model_873,c_4,c_7,c_3,c_5,Unknown,Unknown
model_874,c_7,m_3,c_2,m_2,Unknown,Unknown
model_875,c_10,c_11,c_4,c_1,Unknown,Unknown
model_876,c_12,m_2,m_3,c_9,Unknown,Unknown
model_877,c_10,c_2,c_6,c_3,Unknown,Unknown
model_878,c_8,c_12,c_11,c_7,Unknown,Unknown
model_879,c_3,c_6,c_2,c_4,Unknown,Unknown
model_880,c_3,c_10,c_4,m_1,Unknown,Unknown
model_881,c_4,c_9,c_4,c_7,Unknown,Unknown
model_882,c_7,c_1,c_7,c_4,Unknown,Unknown
model_883,c_12,c_4,c_11,c_11,Unknown,Unknown
model_884,c_10,m_2,c_1,c_7,Unknown,Unknown
model_885,c_8,m_3,c_12,c_6,Unknown,Unknown
model_886,c_2,c_10,m_2,c_5,Unknown,Unknown
model_887,c_9,m_2,c_4,c_12,Unknown,Unknown
model_888,m_1,c_7,s,-,Unknown,Unknown
model_889,c_2,c_2,c_2,s,Unknown,Unknown
model_890,c_12,m_2,m_3,m_2,Unknown,Unknown
model_891,c_7,c_3,c_2,m_3,Unknown,Unknown
model_892,c_11,c_3,s,-,Unknown,Unknown
model_893,c_9,c_8,m_2,m_2,Unknown,Unknown
model_894,c_12,c_3,c_4,c_1,Unknown,Unknown
model_895,c_5,c_11,c_1,c_10,Unknown,Unknown
model_896,c_7,c_9,c_9,c_7,Unknown,Unknown
model_897,c_7,c_6,c_6,m_1,Unknown,Unknown
model_898,c_3,c_2,c_5,c_3,Unknown,Unknown
model_899,c_5,c_12,c_3,c_11,Unknown,Unknown
model_900,c_2,c_6,m_3,c_6,Unknown,Unknown
model_901,m_3,c_9,c_2,c_6,Unknown,Unknown
model_902,c_6,c_11,c_9,c_2,Unknown,Unknown
model_903,c_2,m_1,c_12,c_3,Unknown,Unknown
model_904,c_11,c_11,c_9,c_10,Unknown,Unknown
model_905,c_4,c_5,m_2,m_2,Unknown,Unknown
model_906,c_2,c_7,m_2,c_12,Unknown,Unknown
model_907,m_3,c_6,c_3,c_7,Unknown,Unknown
model_908,c_7,m_3,s,-,Unknown,Unknown
model_909,c_9,c_7,c_7,c_2,Unknown,Unknown
model_910,c_8,c_7,c_11,s,Unknown,Unknown
model_911,c_5,c_8,c_5,c_6,Unknown,Unknown
model_912,c_8,c_5,c_10,m_2,Unknown,Unknown
model_913,c_1,c_12,c_10,m_3,Unknown,Unknown
model_914,c_9,c_4,c_5,c_9,Unknown,Unknown
model_915,c_3,c_10,c_3,c_5,Unknown,Unknown
model_916,c_11,m_1,c_10,m_2,Unknown,Unknown
model_917,c_11,c_9,s,-,Unknown,Unknown
model_918,c_5,c_6,m_2,c_10,Unknown,Unknown
model_919,c_10,c_10,m_3,c_7,Unknown,Unknown
model_920,c_9,c_3,m_2,c_2,Unknown,Unknown
model_921,c_1,c_1,c_12,c_4,Unknown,Unknown
model_922,c_2,m_3,m_3,c_3,Unknown,Unknown
model_923,c_7,c_8,m_3,c_9,Unknown,Unknown
model_924,c_12,m_2,c_9,c_5,Unknown,Unknown
model_925,c_2,c_10,c_3,c_3,Unknown,Unknown
model_926,c_9,m_3,c_5,c_1,Unknown,Unknown
model_927,c_4,c_6,c_11,s,Unknown,Unknown
model_928,c_5,c_12,c_7,m_2,Unknown,Unknown
model_929,c_1,c_5,c_10,c_9,Unknown,Unknown
model_930,c_3,c_2,c_9,c_1,Unknown,Unknown
model_931,c_8,c_3,m_1,c_2,Unknown,Unknown
model_932,c_10,c_6,s,-,Unknown,Unknown
model_933,c_9,c_2,c_6,m_2,Unknown,Unknown
model_934,c_3,c_6,c_7,c_3,Unknown,Unknown
model_935,c_7,c_4,c_5,c_8,Unknown,Unknown
model_936,c_10,c_11,c_3,c_11,Unknown,Unknown
model_937,c_7,c_10,c_2,m_2,Unknown,Unknown
model_938,c_7,c_9,c_2,m_2,Unknown,Unknown
model_939,c_3,c_11,c_8,c_11,Unknown,Unknown
model_940,m_1,m_1,c_2,c_1,Unknown,Unknown
model_941,c_3,c_3,c_1,c_1,Unknown,Unknown
model_942,c_1,m_3,c_8,m_2,Unknown,Unknown
model_943,c_12,c_7,s,-,Unknown,Unknown
model_944,c_10,c_7,c_11,c_10,Unknown,Unknown
model_945,c_6,c_3,m_2,c_2,Unknown,Unknown
model_946,c_8,m_2,m_1,c_5,Unknown,Unknown
model_947,c_5,m_3,c_1,c_9,Unknown,Unknown
model_948,c_7,c_5,c_3,c_2,Unknown,Unknown
model_949,c_8,c_6,m_2,c_4,Unknown,Unknown
model_950,c_7,m_2,c_1,c_9,Unknown,Unknown
model_951,c_2,m_3,c_11,c_12,Unknown,Unknown
model_952,c_1,c_10,c_10,c_1,Unknown,Unknown
model_953,c_3,c_10,s,-,Unknown,Unknown
model_954,c_4,c_11,c_7,c_6,Unknown,Unknown
model_955,c_6,c_9,c_3,c_7,Unknown,Unknown
model_956,c_9,c_11,c_8,s,Unknown,Unknown
model_957,c_7,c_7,c_9,c_11,Unknown,Unknown
model_958,c_2,c_1,m_1,c_4,Unknown,Unknown
model_959,c_1,c_3,c_1,s,Unknown,Unknown
model_960,c_5,m_2,c_9,m_2,Unknown,Unknown
model_961,c_5,c_10,c_12,m_3,Unknown,Unknown
model_962,c_6,m_2,c_1,s,Unknown,Unknown
model_963,c_6,m_3,c_9,c_9,Unknown,Unknown
model_964,c_11,c_3,c_12,c_10,Unknown,Unknown
model_965,c_1,m_3,s,-,Unknown,Unknown
model_966,c_7,c_11,m_3,c_12,Unknown,Unknown
model_967,c_10,m_1,c_10,s,Unknown,Unknown
model_968,c_3,c_8,c_6,m_3,Unknown,Unknown
model_969,c_4,c_3,m_1,m_2,Unknown,Unknown
model_970,c_9,c_7,c_6,c_8,Unknown,Unknown
model_971,c_8,c_4,c_9,c_10,Unknown,Unknown
model_972,c_9,c_10,c_1,m_3,Unknown,Unknown
model_973,c_9,c_7,c_4,c_11,Unknown,Unknown
model_974,c_8,c_10,c_10,m_3,Unknown,Unknown
model_975,c_3,c_11,m_3,m_3,Unknown,Unknown
model_976,c_7,c_11,c_3,c_9,Unknown,Unknown
model_977,c_8,c_9,c_1,c_12,Unknown,Unknown
model_978,c_8,c_6,c_3,c_5,Unknown,Unknown
model_979,c_5,c_3,c_9,m_3,Unknown,Unknown
model_980,c_1,m_3,c_2,m_2,Unknown,Unknown
model_981,c_11,c_6,c_11,c_6,Unknown,Unknown
model_982,c_8,c_7,c_1,c_8,Unknown,Unknown
model_983,c_8,c_5,c_8,m_2,Unknown,Unknown
