Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_501,c_11,c_6,c_9,c_12,Unknown,Unknown
model_502,c_11,c_2,c_6,c_12,Unknown,Unknown
model_503,c_12,c_2,c_9,c_12,Unknown,Unknown
model_504,c_9,m_3,c_10,c_10,Unknown,Unknown
model_505,c_12,m_3,c_9,c_1,Unknown,Unknown
model_506,c_2,c_11,m_1,m_1,Unknown,Unknown
model_507,c_9,c_3,c_1,c_11,Unknown,Unknown
model_508,c_12,c_7,c_3,c_4,Unknown,Unknown
model_509,c_11,m_2,c_3,c_4,Unknown,Unknown
model_510,c_5,c_8,c_4,m_1,Unknown,Unknown
model_511,c_7,c_1,c_5,c_2,Unknown,Unknown
model_512,c_8,m_2,m_2,c_6,Unknown,Unknown
model_513,c_12,c_1,c_7,c_12,Unknown,Unknown
model_514,c_3,c_11,c_12,s,Unknown,Unknown
model_515,c_3,c_12,m_3,c_8,Unknown,Unknown
model_516,c_9,c_11,c_1,c_8,Unknown,Unknown
model_517,c_12,c_12,c_11,m_2,Unknown,Unknown
model_518,c_5,c_12,c_9,c_1,Unknown,Unknown
model_519,c_1,c_5,c_12,c_6,Unknown,Unknown
model_520,c_12,c_2,m_1,c_6,Unknown,Unknown
model_521,c_7,c_11,c_5,c_5,Unknown,Unknown
model_522,c_7,c_8,c_9,m_2,Unknown,Unknown
model_523,c_7,c_11,c_3,c_6,Unknown,Unknown
model_524,c_3,c_8,c_2,m_3,Unknown,Unknown
model_525,c_2,c_10,m_1,s,Unknown,Unknown
model_526,c_10,m_1,c_8,m_3,Unknown,Unknown
model_527,c_6,c_8,c_5,c_9,Unknown,Unknown
model_528,c_7,c_9,c_1,m_3,Unknown,Unknown
model_529,c_6,c_4,c_10,m_1,Unknown,Unknown
model_530,c_5,c_4,s,-,Unknown,Unknown
model_531,c_1,c_5,c_10,m_3,Unknown,Unknown
model_532,c_6,c_4,c_4,m_3,Unknown,Unknown
model_533,c_6,c_9,c_4,c_10,Unknown,Unknown
model_534,c_11,m_2,c_4,c_4,Unknown,Unknown
