Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_2008,c_12,c_1,m_3,c_7,0.9763,0.07803334
model_2009,c_9,m_3,s,-,0.9654,0.12065855
model_2010,c_7,c_4,c_11,c_8,0.9808,0.060152236
model_2011,c_3,c_9,m_1,c_3,0.973,0.08686389
model_2012,c_12,c_1,c_3,c_10,0.98,0.06208241
model_2013,c_6,c_4,c_1,c_4,0.9808,0.05913852
model_2014,c_12,c_12,c_8,c_5,0.9797,0.06227005
model_2015,c_5,c_11,c_9,c_7,0.98,0.06258866
model_2016,c_5,c_2,c_1,c_6,0.9803,0.061426476
model_2017,c_3,c_2,m_2,c_5,0.9742,0.08445784
model_2018,c_10,c_12,c_3,m_1,0.9805,0.05884477
model_2019,c_1,c_3,c_3,c_8,0.9813,0.05784141
model_2020,c_1,c_10,c_11,c_8,0.9806,0.060427073
model_2021,c_3,c_1,c_5,m_2,0.9811,0.05768415
model_2022,c_7,c_5,s,-,0.9779,0.06987904
model_2023,c_8,c_6,c_6,c_8,0.9816,0.05787874
model_2024,c_11,c_10,c_12,c_8,0.9797,0.062053945
model_2025,m_3,c_12,c_12,s,0.872,0.39402032
model_2026,c_2,c_4,c_8,c_11,0.9807,0.060914777
model_2027,c_6,c_2,c_4,c_1,0.9799,0.059579078
model_2028,c_6,c_11,c_8,c_2,0.9805,0.063643366
model_2029,c_6,c_4,c_8,c_10,0.9796,0.061434638
model_2030,c_1,m_1,c_2,c_6,0.9671,0.10787719
model_2031,c_1,m_3,c_10,m_2,0.9599,0.13809688
model_2032,c_1,c_10,c_8,m_1,0.9815,0.05533743
model_2033,c_4,c_10,c_1,c_4,0.9809,0.06345132
model_2034,c_4,c_8,c_6,s,0.9803,0.061361887
model_2035,c_4,c_6,c_11,c_7,0.981,0.058634914
model_2036,c_5,s,-,-,0.9594,0.13636738
model_2037,c_3,c_7,m_3,c_12,0.9749,0.08480098
model_2038,c_12,c_10,m_2,c_8,0.9711,0.092256986
model_2039,c_6,c_4,m_3,c_12,0.9772,0.07977658
model_2040,c_5,c_7,c_11,c_4,0.9817,0.060351994
model_2041,c_4,c_1,s,-,0.9759,0.07493877
model_2042,c_11,c_6,m_3,c_7,0.9807,0.06299513
model_2043,c_9,m_1,c_8,c_2,0.9691,0.104367115
model_2044,c_8,m_2,c_12,c_7,0.9689,0.10570152
model_2045,c_4,c_9,c_8,c_4,0.9788,0.06373166
model_2046,c_4,c_6,c_12,c_8,0.9814,0.056482617
model_2047,c_6,c_3,c_11,c_6,0.9796,0.064433336
model_2048,c_2,c_4,c_7,c_5,0.9794,0.06389363
model_2049,c_3,c_4,c_2,c_9,0.9811,0.060349345
model_2050,m_3,c_5,c_9,m_3,0.872,0.39110386
model_2051,c_12,c_6,c_2,m_1,0.9806,0.060053505
model_2052,c_3,c_2,c_4,c_1,0.981,0.059473395
model_2053,c_2,m_1,c_3,m_2,0.968,0.10516502
model_2054,c_10,c_10,c_4,c_2,0.9806,0.059604615
model_2055,c_4,c_1,c_8,c_9,0.9805,0.057059307
model_2056,c_1,c_8,s,-,0.9776,0.07194504
model_2057,c_4,c_4,c_4,c_5,0.9808,0.05789813
model_2058,c_10,c_5,c_4,m_3,0.9816,0.059936535
model_2059,c_6,c_6,c_1,c_12,0.9775,0.06685668
model_2060,c_5,c_10,c_5,c_7,0.9799,0.062217742
model_2061,c_10,c_1,c_2,c_1,0.9784,0.06633131
model_2062,c_10,c_8,c_6,m_2,0.9811,0.061981346
model_2063,c_9,c_6,c_2,m_2,0.9793,0.0607434
model_2064,c_10,m_3,s,-,0.9415,0.21194021
model_2065,c_7,c_3,c_11,m_1,0.9795,0.0645299
model_2066,c_7,c_9,m_3,c_9,0.9811,0.05998657
model_2067,c_11,m_1,c_6,-,0.9488,0.17665434
model_2068,c_1,m_2,c_1,c_9,0.9639,0.12008782
model_2069,c_3,c_2,c_2,s,0.9792,0.06448545
model_2070,c_7,m_2,m_3,c_4,0.8672,0.5431703
model_2071,c_12,c_4,c_10,c_8,0.9805,0.061283413
model_2072,c_2,c_3,c_2,c_4,0.9804,0.06048701
model_2073,c_5,c_6,c_2,-,0.9772,0.072233506
model_2074,c_8,c_11,c_2,c_11,0.9801,0.062211953
model_2075,c_12,c_11,m_3,s,0.98,0.066061474
model_2076,c_7,m_2,c_4,c_1,0.9624,0.12203896
model_2077,c_2,m_1,c_5,s,0.9692,0.10615162
model_2078,c_6,c_8,c_3,c_12,0.9778,0.0697734
model_2079,c_4,c_1,c_1,c_5,0.9812,0.059297085
model_2080,c_4,c_4,c_11,c_9,0.9801,0.06008395
model_2081,m_3,c_9,c_4,m_3,0.8657,0.39586118
model_2082,c_2,m_1,m_3,c_3,0.9529,0.18053217
model_2083,c_7,c_12,c_8,c_1,0.9803,0.061251823
model_2084,c_7,c_8,c_11,c_10,0.9799,0.059808627
model_2085,c_5,c_7,c_9,c_8,0.9805,0.061077528
model_2086,c_2,m_3,c_7,c_6,0.9681,0.10800243
model_2087,c_3,c_10,c_8,m_3,0.979,0.06536225
model_2088,c_5,c_11,c_12,m_3,0.9804,0.06085618
model_2089,c_9,c_9,c_1,m_1,0.9807,0.06216963
model_2090,c_11,c_4,c_4,c_9,0.9793,0.06500544
model_2091,c_4,c_10,m_2,c_5,0.9693,0.0978067
model_2092,c_11,c_12,c_3,c_6,0.9798,0.058177017
model_2093,c_4,m_1,c_4,c_1,0.9654,0.11456446
model_2094,c_8,c_11,c_12,c_10,0.9808,0.058983356
model_2095,c_4,m_1,c_4,c_12,0.9663,0.11441542
model_2096,c_7,c_11,m_2,c_4,0.9753,0.085467
model_2097,c_4,c_6,c_11,c_12,0.9808,0.05792753
model_2098,c_10,c_7,m_3,c_2,0.9727,0.095703475
model_2099,c_9,m_3,m_2,c_4,0.9416,0.22288522
model_2100,m_3,c_12,m_3,m_2,0.7877,0.74120814
model_2101,c_1,c_10,c_7,m_3,0.9811,0.059583817
model_2102,c_11,c_3,c_9,s,0.9803,0.06189546
model_2103,c_3,c_1,c_3,c_8,0.9795,0.06643788
model_2104,c_6,c_11,c_7,m_3,0.9798,0.06039025
model_2105,c_8,c_3,c_5,c_1,0.981,0.060672607
model_2106,c_5,c_3,s,-,0.9764,0.07124184
model_2107,c_2,c_4,c_8,c_7,0.9796,0.061338115
model_2108,c_10,c_10,c_10,c_8,0.9804,0.059063163
model_2109,c_1,m_1,c_1,c_3,0.9645,0.11604784
model_2110,c_1,c_4,c_3,c_10,0.9825,0.058318846
model_2111,c_2,c_4,m_1,m_1,0.9718,0.09222957
model_2112,c_10,c_9,m_2,c_1,0.9803,0.06594825
model_2113,c_10,c_12,c_10,m_2,0.9804,0.0613509
model_2114,c_8,c_6,c_12,c_10,0.9801,0.06164042
model_2115,c_10,c_5,m_1,c_4,0.9728,0.09305124
model_2116,c_2,c_2,c_4,c_1,0.9796,0.063147075
